"grade","anzahl_kredite","kreditvolumen","durchschnittlicher_kreditbetrag","durchschnittlicher_zinssatz","durchschnittlicher_dti","durchschnittlicher_fico"
"A","10085","86982400","8624.93","7.34","12.06","750.39"
"B","12020","133651350","11119.08","11.02","13.44","719.17"
"C","8098","89115825","11004.67","13.55","13.9","697.03"
"D","5307","65160400","12278.2","15.72","13.96","684.85"
"E","2842","45037900","15847.26","17.71","14.1","681.23"
"F","1049","19263100","18363.3","19.75","14.12","672.65"
"G","316","6391675","20226.82","21.4","14.02","668.58"
